Facilitator,Competitor,value,tip,sigma,cor
0,0.48484848,1.3917164973651157e-8,-1,0.05,-0.1
0,0.49494949,0,-1,0.05,-0.1
0,0.50505051,1.008403905132238e-8,-1,0.05,-0.1
0,0.51515152,0,-1,0.05,-0.1
0,0.52525253,8.336840093568083e-9,-1,0.05,-0.1
0,0.53535354,0,-1,0.05,-0.1
0,0.54545455,7.184501062457074e-9,-1,0.05,-0.1
0,0.55555556,0,-1,0.05,-0.1
0,0.56565657,6.378762606455701e-9,-1,0.05,-0.1
0,0.57575758,0,-1,0.05,-0.1
0,0.58585859,5.79237906638691e-9,-1,0.05,-0.1
0,0.5959596,0,-1,0.05,-0.1
0,0.60606061,5.3545663469489755e-9,-1,0.05,-0.1
0,0.61616162,0,-1,0.05,-0.1
0,0.62626263,5.023299794643111e-9,-1,0.05,-0.1
0,0.63636364,0,-1,0.05,-0.1
0,0.64646465,4.772266689045957e-9,-1,0.05,-0.1
0,0.65656566,0,-1,0.05,-0.1
0,0.66666667,4.58428963082333e-9,-1,0.05,-0.1
0,0.67676768,0,-1,0.05,-0.1
0,0.68686869,4.447816572020203e-9,-1,0.05,-0.1
0,0.6969697,0,-1,0.05,-0.1
0,0.70707071,4.354888341140395e-9,-1,0.05,-0.1
0,0.71717172,0,-1,0.05,-0.1
0,0.72727273,4.299950543232291e-9,-1,0.05,-0.1
0,0.73737374,0,-1,0.05,-0.1
0,0.74747475,4.279018645902966e-9,-1,0.05,-0.1
0,0.75757576,0,-1,0.05,-0.1
0,0.76767677,4.289087439895978e-9,-1,0.05,-0.1
0,0.77777778,0,-1,0.05,-0.1
0,0.78787879,4.327527639252926e-9,-1,0.05,-0.1
0,0.7979798,0,-1,0.05,-0.1
0,0.80808081,4.3913732692801856e-9,-1,0.05,-0.1
0,0.81818182,0,-1,0.05,-0.1
0,0.82828283,4.4761263245152176e-9,-1,0.05,-0.1
0,0.83838384,0,-1,0.05,-0.1
0,0.84848485,4.5736740521745714e-9,-1,0.05,-0.1
0,0.85858586,0,-1,0.05,-0.1
0,0.86868687,4.668019928627532e-9,-1,0.05,-0.1
0,0.87878788,0,-1,0.05,-0.1
0,0.88888889,4.726253436034e-9,-1,0.05,-0.1
0,0.8989899,0,-1,0.05,-0.1
0,0.90909091,4.677617331113639e-9,-1,0.05,-0.1
0,0.91919192,0,-1,0.05,-0.1
0,0.92929293,4.360474841395672e-9,-1,0.05,-0.1
0,0.93939394,0,-1,0.05,-0.1
0,0.94949495,3.368988533249129e-9,-1,0.05,-0.1
0,0.95959596,0,-1,0.05,-0.1
0,0.96969697,5.168123264551182e-10,-1,0.05,-0.1
0,0.97979798,2.67676604609017e-9,-1,0.05,-0.1
0,0.98989899,0,-1,0.05,-0.1
0,1,2.1597161471670697e-8,-1,0.05,-0.1
0.01010101,0,1.6147804229575193e-7,-1,0.05,-0.1
0.01010101,0.01010101,0,1,0.05,-0.1
0.01010101,0.02020202,0,1,0.05,-0.1
0.01010101,0.03030303,4.1271890840763975e-5,1,0.05,-0.1
0.01010101,0.04040404,2.636499371456082e-5,1,0.05,-0.1
0.01010101,0.05050505,6.228791518722916e-5,1,0.05,-0.1
0.01010101,0.06060606,3.113939575444541e-5,1,0.05,-0.1
0.01010101,0.07070707,3.673015082369306e-5,1,0.05,-0.1
0.01010101,0.08080808,5.55265014196892e-5,1,0.05,-0.1
0.01010101,0.09090909,1.4524116291556277e-6,1,0.05,-0.1
0.01010101,0.1010101,0,1,0.05,-0.1
0.01010101,0.11111111,1.9634022331859993e-5,1,0.05,-0.1
0.01010101,0.12121212,2.0729205331964675e-5,-1,0.05,-0.1
0.01010101,0.13131313,6.272605808333175e-5,-1,0.05,-0.1
0.01010101,0.14141414,2.4203478620815e-4,-1,0.05,-0.1
0.01010101,0.15151515,7.422875928814231e-6,-1,0.05,-0.1
0.01010101,0.16161616,0,-1,0.05,-0.1
0.01010101,0.17171717,3.907732822972754e-5,-1,0.05,-0.1
0.01010101,0.18181818,0,-1,0.05,-0.1
0.01010101,0.19191919,0,-1,0.05,-0.1
0.01010101,0.2020202,0,-1,0.05,-0.1
0.01010101,0.21212121,0,-1,0.05,-0.1
0.01010101,0.22222222,4.2950951793090245e-5,-1,0.05,-0.1
0.01010101,0.23232323,6.8512756526099e-5,-1,0.05,-0.1
0.01010101,0.24242424,2.402249851448e-4,-1,0.05,-0.1
0.01010101,0.25252525,2.4248302289915e-4,-1,0.05,-0.1
0.01010101,0.26262626,7.584212980461432e-5,-1,0.05,-0.1
0.01010101,0.27272727,5.01420624922448e-6,-1,0.05,-0.1
0.01010101,0.28282828,7.37714465679509e-5,-1,0.05,-0.1
0.01010101,0.29292929,2.0216174900673335e-5,-1,0.05,-0.1
0.01010101,0.3030303,0,-1,0.05,-0.1
0.01010101,0.31313131,0,-1,0.05,-0.1
0.01010101,0.32323232,0,-1,0.05,-0.1
0.01010101,0.33333333,0,-1,0.05,-0.1
0.01010101,0.34343434,1.3625562480575128e-5,-1,0.05,-0.1
0.01010101,0.35353535,1.2837366506314556e-5,-1,0.05,-0.1
0.01010101,0.36363636,0,-1,0.05,-0.1
0.01010101,0.37373737,0,-1,0.05,-0.1
0.01010101,0.38383838,4.698982341187676e-6,-1,0.05,-0.1
0.01010101,0.39393939,0,-1,0.05,-0.1
0.01010101,0.4040404,0,-1,0.05,-0.1
0.01010101,0.41414141,0,-1,0.05,-0.1
0.01010101,0.42424242,2.289096537940848e-6,-1,0.05,-0.1
0.01010101,0.43434343,1.0452854303528263e-6,-1,0.05,-0.1
0.01010101,0.44444444,2.574909745674953e-8,-1,0.05,-0.1
0.01010101,0.45454545,1.5052385697262166e-7,-1,0.05,-0.1
0.01010101,0.46464646,0,-1,0.05,-0.1
0.01010101,0.47474747,0,-1,0.05,-0.1
0.01010101,0.48484848,0,-1,0.05,-0.1
0.01010101,0.49494949,1.4337022402408085e-8,-1,0.05,-0.1
0.01010101,0.50505051,0,-1,0.05,-0.1
0.01010101,0.51515152,1.1624620626380852e-8,-1,0.05,-0.1
0.01010101,0.52525253,0,-1,0.05,-0.1
0.01010101,0.53535354,9.8897588205471e-9,-1,0.05,-0.1
0.01010101,0.54545455,0,-1,0.05,-0.1
0.01010101,0.55555556,8.690835727970248e-9,-1,0.05,-0.1
0.01010101,0.56565657,0,-1,0.05,-0.1
0.01010101,0.57575758,7.820361355931338e-9,-1,0.05,-0.1
0.01010101,0.58585859,0,-1,0.05,-0.1
0.01010101,0.5959596,7.166323979038332e-9,-1,0.05,-0.1
0.01010101,0.60606061,0,-1,0.05,-0.1
0.01010101,0.61616162,6.663560579031613e-9,-1,0.05,-0.1
0.01010101,0.62626263,0,-1,0.05,-0.1
0.01010101,0.63636364,6.271675540481248e-9,-1,0.05,-0.1
0.01010101,0.64646465,0,-1,0.05,-0.1
0.01010101,0.65656566,5.9641541847912935e-9,-1,0.05,-0.1
0.01010101,0.66666667,0,-1,0.05,-0.1
0.01010101,0.67676768,5.722704347754792e-9,-1,0.05,-0.1
0.01010101,0.68686869,0,-1,0.05,-0.1
0.01010101,0.6969697,5.5339852040314785e-9,-1,0.05,-0.1
0.01010101,0.70707071,0,-1,0.05,-0.1
0.01010101,0.71717172,5.387613067464603e-9,-1,0.05,-0.1
0.01010101,0.72727273,0,-1,0.05,-0.1
0.01010101,0.73737374,5.27471656800449e-9,-1,0.05,-0.1
0.01010101,0.74747475,0,-1,0.05,-0.1
0.01010101,0.75757576,5.186706263771157e-9,-1,0.05,-0.1
0.01010101,0.76767677,0,-1,0.05,-0.1
0.01010101,0.77777778,5.113912378488725e-9,-1,0.05,-0.1
0.01010101,0.78787879,0,-1,0.05,-0.1
0.01010101,0.7979798,5.043732116120914e-9,-1,0.05,-0.1
0.01010101,0.80808081,0,-1,0.05,-0.1
0.01010101,0.81818182,4.957697335239431e-9,-1,0.05,-0.1
0.01010101,0.82828283,0,-1,0.05,-0.1
0.01010101,0.83838384,4.826321807957501e-9,-1,0.05,-0.1
0.01010101,0.84848485,0,-1,0.05,-0.1
0.01010101,0.85858586,4.599486819392707e-9,-1,0.05,-0.1
0.01010101,0.86868687,0,-1,0.05,-0.1
0.01010101,0.87878788,4.187178004918385e-9,-1,0.05,-0.1
0.01010101,0.88888889,0,-1,0.05,-0.1
0.01010101,0.8989899,3.418201133267851e-9,-1,0.05,-0.1
0.01010101,0.90909091,0,-1,0.05,-0.1
0.01010101,0.91919192,1.943681901288297e-9,-1,0.05,-0.1
0.01010101,0.92929293,0,-1,0.05,-0.1
0.01010101,0.93939394,0,-1,0.05,-0.1
0.01010101,0.94949495,3.57492237409579e-9,-1,0.05,-0.1
0.01010101,0.95959596,0,-1,0.05,-0.1
0.01010101,0.96969697,1.3490133573522412e-8,-1,0.05,-0.1
0.01010101,0.97979798,0,-1,0.05,-0.1
0.01010101,0.98989899,4.1236521443254945e-8,-1,0.05,-0.1
0.01010101,1,0,-1,0.05,-0.1
0.02020202,0,4.480632152473368e-6,-1,0.05,-0.1
0.02020202,0.01010101,3.903926364787702e-6,0,0.05,-0.1
0.02020202,0.02020202,0.00109304721916534,0,0.05,-0.1
0.02020202,0.03030303,0.00497007168492351,0,0.05,-0.1
0.02020202,0.04040404,0.00510818256657455,0,0.05,-0.1
0.02020202,0.05050505,0.00788728829864328,0,0.05,-0.1
0.02020202,0.06060606,0.00845493830990484,0,0.05,-0.1
0.02020202,0.07070707,0.00930045556723671,1,0.05,-0.1
0.02020202,0.08080808,0.01012832506499836,1,0.05,-0.1
0.02020202,0.09090909,0.01096068584044108,1,0.05,-0.1
0.02020202,0.1010101,0.0082396879654049009,1,0.05,-0.1
0.02020202,0.11111111,0.00550566638778968,1,0.05,-0.1
0.02020202,0.12121212,0.00457313411431622,1,0.05,-0.1
0.02020202,0.13131313,0.00357862279640987,1,0.05,-0.1
0.02020202,0.14141414,0.00226666778554486,1,0.05,-0.1
0.02020202,0.15151515,0.0017406585375073,1,0.05,-0.1
0.02020202,0.16161616,0.00141975190652438,1,0.05,-0.1
0.02020202,0.17171717,8.4786486848654e-4,1,0.05,-0.1
0.02020202,0.18181818,3.0559166318515e-4,1,0.05,-0.1
0.02020202,0.19191919,2.4261468668193e-4,1,0.05,-0.1
0.02020202,0.2020202,2.0127464903727e-4,1,0.05,-0.1
0.02020202,0.21212121,2.805127181525e-4,1,0.05,-0.1
0.02020202,0.22222222,0,1,0.05,-0.1
0.02020202,0.23232323,0,1,0.05,-0.1
0.02020202,0.24242424,0,1,0.05,-0.1
0.02020202,0.25252525,0,1,0.05,-0.1
0.02020202,0.26262626,0,1,0.05,-0.1
0.02020202,0.27272727,0,1,0.05,-0.1
0.02020202,0.28282828,0,1,0.05,-0.1
0.02020202,0.29292929,0,1,0.05,-0.1
0.02020202,0.3030303,1.0877406214983e-4,1,0.05,-0.1
0.02020202,0.31313131,1.2424043498455e-4,1,0.05,-0.1
0.02020202,0.32323232,1.5095692436901e-4,1,0.05,-0.1
0.02020202,0.33333333,6.476381363103103e-5,1,0.05,-0.1
0.02020202,0.34343434,0,1,0.05,-0.1
0.02020202,0.35353535,0,-1,0.05,-0.1
0.02020202,0.36363636,2.1863455039760105e-5,-1,0.05,-0.1
0.02020202,0.37373737,1.600784802758364e-5,-1,0.05,-0.1
0.02020202,0.38383838,0,-1,0.05,-0.1
0.02020202,0.39393939,1.7864071395189908e-5,-1,0.05,-0.1
0.02020202,0.4040404,2.4549542420062355e-6,-1,0.05,-0.1
0.02020202,0.41414141,8.213488861950137e-6,-1,0.05,-0.1
0.02020202,0.42424242,0,-1,0.05,-0.1
0.02020202,0.43434343,0,-1,0.05,-0.1
0.02020202,0.44444444,1.113373191061029e-7,-1,0.05,-0.1
0.02020202,0.45454545,0,-1,0.05,-0.1
0.02020202,0.46464646,4.201361210708382e-7,-1,0.05,-0.1
0.02020202,0.47474747,0,-1,0.05,-0.1
0.02020202,0.48484848,1.1150818821842325e-7,-1,0.05,-0.1
0.02020202,0.49494949,0,-1,0.05,-0.1
0.02020202,0.50505051,1.0392904091191537e-7,-1,0.05,-0.1
0.02020202,0.51515152,0,-1,0.05,-0.1
0.02020202,0.52525253,9.998019917762947e-8,-1,0.05,-0.1
0.02020202,0.53535354,0,-1,0.05,-0.1
0.02020202,0.54545455,9.760432519740905e-8,-1,0.05,-0.1
0.02020202,0.55555556,0,-1,0.05,-0.1
0.02020202,0.56565657,9.642991776104282e-8,-1,0.05,-0.1
0.02020202,0.57575758,0,-1,0.05,-0.1
0.02020202,0.58585859,9.62775694418383e-8,-1,0.05,-0.1
0.02020202,0.5959596,0,-1,0.05,-0.1
0.02020202,0.60606061,9.707018876810025e-8,-1,0.05,-0.1
0.02020202,0.61616162,0,-1,0.05,-0.1
0.02020202,0.62626263,9.879603736280275e-8,-1,0.05,-0.1
0.02020202,0.63636364,0,-1,0.05,-0.1
0.02020202,0.64646465,1.014940131092601e-7,-1,0.05,-0.1
0.02020202,0.65656566,0,-1,0.05,-0.1
0.02020202,0.66666667,1.052502699780078e-7,-1,0.05,-0.1
0.02020202,0.67676768,0,-1,0.05,-0.1
0.02020202,0.68686869,1.1020221075448425e-7,-1,0.05,-0.1
0.02020202,0.6969697,0,-1,0.05,-0.1
0.02020202,0.70707071,1.1654897162034497e-7,-1,0.05,-0.1
0.02020202,0.71717172,0,-1,0.05,-0.1
0.02020202,0.72727273,1.245695752169984e-7,-1,0.05,-0.1
0.02020202,0.73737374,0,-1,0.05,-0.1
0.02020202,0.74747475,1.3465158952796765e-7,-1,0.05,-0.1
0.02020202,0.75757576,0,-1,0.05,-0.1
0.02020202,0.76767677,1.4733587010993256e-7,-1,0.05,-0.1
0.02020202,0.77777778,0,-1,0.05,-0.1
0.02020202,0.78787879,1.633870924974801e-7,-1,0.05,-0.1
0.02020202,0.7979798,0,-1,0.05,-0.1
0.02020202,0.80808081,1.8390772658758437e-7,-1,0.05,-0.1
0.02020202,0.81818182,0,-1,0.05,-0.1
0.02020202,0.82828283,2.1052816516169418e-7,-1,0.05,-0.1
0.02020202,0.83838384,0,-1,0.05,-0.1
0.02020202,0.84848485,2.457369982743707e-7,-1,0.05,-0.1
0.02020202,0.85858586,0,-1,0.05,-0.1
0.02020202,0.86868687,2.9348281823846636e-7,-1,0.05,-0.1
0.02020202,0.87878788,0,-1,0.05,-0.1
0.02020202,0.88888889,3.6033676149616057e-7,-1,0.05,-0.1
0.02020202,0.8989899,0,-1,0.05,-0.1
0.02020202,0.90909091,4.579034155016926e-7,-1,0.05,-0.1
0.02020202,0.91919192,0,-1,0.05,-0.1
0.02020202,0.92929293,6.082824952852811e-7,-1,0.05,-0.1
0.02020202,0.93939394,0,-1,0.05,-0.1
0.02020202,0.94949495,8.579010280893419e-7,-1,0.05,-0.1
0.02020202,0.95959596,0,-1,0.05,-0.1
0.02020202,0.96969697,1.3178243579780008e-6,-1,0.05,-0.1
0.02020202,0.97979798,0,-1,0.05,-0.1
0.02020202,0.98989899,2.299722047501862e-6,-1,0.05,-0.1
0.02020202,1,0,-1,0.05,-0.1
0.03030303,0,0,-1,0.05,-0.1
0.03030303,0.01010101,5.7077481415828e-4,0,0.05,-0.1
0.03030303,0.02020202,0.00957985867957151,0,0.05,-0.1
0.03030303,0.03030303,0.01483625568624592,0,0.05,-0.1
0.03030303,0.04040404,0.01960363159670409,0,0.05,-0.1
0.03030303,0.05050505,0.0300929719967753,0,0.05,-0.1
0.03030303,0.06060606,0.04706575799375295,0,0.05,-0.1
0.03030303,0.07070707,0.07005659058296751,0,0.05,-0.1
0.03030303,0.08080808,0.1022323162672782,0,0.05,-0.1
0.03030303,0.09090909,0.13676372311373966,0,0.05,-0.1
0.03030303,0.1010101,0.1622348973649241,0,0.05,-0.1
0.03030303,0.11111111,0.18155827245769465,0,0.05,-0.1
0.03030303,0.12121212,0.1941138211883137,0,0.05,-0.1
0.03030303,0.13131313,0.19612600003920205,0,0.05,-0.1
0.03030303,0.14141414,0.18566863627093572,0,0.05,-0.1
0.03030303,0.15151515,0.1696195216399938,0,0.05,-0.1
0.03030303,0.16161616,0.14353109237322978,0,0.05,-0.1
0.03030303,0.17171717,0.1175305779557664,0,0.05,-0.1
0.03030303,0.18181818,0.08966318845052362,0,0.05,-0.1
0.03030303,0.19191919,0.06176887292081171,1,0.05,-0.1
0.03030303,0.2020202,0.0397964785095311,1,0.05,-0.1
0.03030303,0.21212121,0.02327219240408281,1,0.05,-0.1
0.03030303,0.22222222,0.01350500965721136,1,0.05,-0.1
0.03030303,0.23232323,0.00681028793803186,1,0.05,-0.1
0.03030303,0.24242424,0.00410441391045344,1,0.05,-0.1
0.03030303,0.25252525,0.00241747738198257,1,0.05,-0.1
0.03030303,0.26262626,9.2136647266427e-4,1,0.05,-0.1
0.03030303,0.27272727,3.5221060713048e-4,1,0.05,-0.1
0.03030303,0.28282828,2.6467174081867e-4,1,0.05,-0.1
0.03030303,0.29292929,1.2844109036716e-4,1,0.05,-0.1
0.03030303,0.3030303,0,1,0.05,-0.1
0.03030303,0.31313131,0,1,0.05,-0.1
0.03030303,0.32323232,0,1,0.05,-0.1
0.03030303,0.33333333,0,1,0.05,-0.1
0.03030303,0.34343434,2.7937399252942895e-5,1,0.05,-0.1
0.03030303,0.35353535,3.791100707492064e-5,1,0.05,-0.1
0.03030303,0.36363636,0,1,0.05,-0.1
0.03030303,0.37373737,0,1,0.05,-0.1
0.03030303,0.38383838,8.14279848902686e-6,1,0.05,-0.1
0.03030303,0.39393939,0,1,0.05,-0.1
0.03030303,0.4040404,0,1,0.05,-0.1
0.03030303,0.41414141,0,1,0.05,-0.1
0.03030303,0.42424242,3.611249964922437e-6,1,0.05,-0.1
0.03030303,0.43434343,1.3557343919814002e-6,1,0.05,-0.1
0.03030303,0.44444444,0,1,0.05,-0.1
0.03030303,0.45454545,2.0356500194473882e-7,1,0.05,-0.1
0.03030303,0.46464646,0,1,0.05,-0.1
0.03030303,0.47474747,0,1,0.05,-0.1
0.03030303,0.48484848,0,-1,0.05,-0.1
0.03030303,0.49494949,1.1680645999323502e-8,-1,0.05,-0.1
0.03030303,0.50505051,0,-1,0.05,-0.1
0.03030303,0.51515152,1.0489641459754396e-8,-1,0.05,-0.1
0.03030303,0.52525253,0,-1,0.05,-0.1
0.03030303,0.53535354,1.0541149075038448e-8,-1,0.05,-0.1
0.03030303,0.54545455,0,-1,0.05,-0.1
0.03030303,0.55555556,1.12813597411332e-8,-1,0.05,-0.1
0.03030303,0.56565657,0,-1,0.05,-0.1
0.03030303,0.57575758,1.2487609859590522e-8,-1,0.05,-0.1
0.03030303,0.58585859,0,-1,0.05,-0.1
0.03030303,0.5959596,1.4074827322474447e-8,-1,0.05,-0.1
0.03030303,0.60606061,0,-1,0.05,-0.1
0.03030303,0.61616162,1.6030670144573377e-8,-1,0.05,-0.1
0.03030303,0.62626263,0,-1,0.05,-0.1
0.03030303,0.63636364,1.8389518004369168e-8,-1,0.05,-0.1
0.03030303,0.64646465,0,-1,0.05,-0.1
0.03030303,0.65656566,2.122397831954004e-8,-1,0.05,-0.1
0.03030303,0.66666667,0,-1,0.05,-0.1
0.03030303,0.67676768,2.4646282895446348e-8,-1,0.05,-0.1
0.03030303,0.68686869,0,-1,0.05,-0.1
0.03030303,0.6969697,2.881702859554025e-8,-1,0.05,-0.1
0.03030303,0.70707071,0,-1,0.05,-0.1
0.03030303,0.71717172,3.396202902195e-8,-1,0.05,-0.1
0.03030303,0.72727273,0,-1,0.05,-0.1
0.03030303,0.73737374,4.0400190908940215e-8,-1,0.05,-0.1
0.03030303,0.74747475,0,-1,0.05,-0.1
0.03030303,0.75757576,4.858870721839992e-8,-1,0.05,-0.1
0.03030303,0.76767677,0,-1,0.05,-0.1
0.03030303,0.77777778,5.919718469491465e-8,-1,0.05,-0.1
0.03030303,0.78787879,0,-1,0.05,-0.1
0.03030303,0.7979798,7.32326467611344e-8,-1,0.05,-0.1
0.03030303,0.80808081,0,-1,0.05,-0.1
0.03030303,0.81818182,9.225825267691337e-8,-1,0.05,-0.1
0.03030303,0.82828283,0,-1,0.05,-0.1
0.03030303,0.83838384,1.187934706306848e-7,-1,0.05,-0.1
0.03030303,0.84848485,0,-1,0.05,-0.1
0.03030303,0.85858586,1.570871311187716e-7,-1,0.05,-0.1
0.03030303,0.86868687,0,-1,0.05,-0.1
0.03030303,0.87878788,2.147122706304572e-7,-1,0.05,-0.1
0.03030303,0.88888889,0,-1,0.05,-0.1
0.03030303,0.8989899,3.061366843922997e-7,-1,0.05,-0.1
0.03030303,0.90909091,0,-1,0.05,-0.1
0.03030303,0.91919192,4.615946504308966e-7,-1,0.05,-0.1
0.03030303,0.92929293,0,-1,0.05,-0.1
0.03030303,0.93939394,7.523907310002188e-7,-1,0.05,-0.1
0.03030303,0.94949495,0,-1,0.05,-0.1
0.03030303,0.95959596,1.3783562799009274e-6,-1,0.05,-0.1
0.03030303,0.96969697,0,-1,0.05,-0.1
0.03030303,0.97979798,3.0710804840449415e-6,-1,0.05,-0.1
0.03030303,0.98989899,0,-1,0.05,-0.1
0.03030303,1,1.0088304885802567e-5,-1,0.05,-0.1
0.04040404,0,3.8330664921085145e-5,-1,0.05,-0.1
0.04040404,0.01010101,0.00208444914728165,0,0.05,-0.1
0.04040404,0.02020202,0.00916779641595619,0,0.05,-0.1
0.04040404,0.03030303,0.01787308939060445,0,0.05,-0.1
0.04040404,0.04040404,0.02307350609515269,0,0.05,-0.1
0.04040404,0.05050505,0.05878061954432361,0,0.05,-0.1
0.04040404,0.06060606,0.10391131578808464,0,0.05,-0.1
0.04040404,0.07070707,0.2192040819142456,0,0.05,-0.1
0.04040404,0.08080808,0.3639987240753539,0,0.05,-0.1
0.04040404,0.09090909,0.5165782325326745,0,0.05,-0.1
0.04040404,0.1010101,0.7401183387408675,0,0.05,-0.1
0.04040404,0.11111111,0.9885155454206296,0,0.05,-0.1
0.04040404,0.12121212,1.2066089816131256,0,0.05,-0.1
0.04040404,0.13131313,1.4042795829087544,0,0.05,-0.1
0.04040404,0.14141414,1.5943679352038311,0,0.05,-0.1
0.04040404,0.15151515,1.7298620785556174,0,0.05,-0.1
0.04040404,0.16161616,1.750184214698006,0,0.05,-0.1
0.04040404,0.17171717,1.6949163954532451,0,0.05,-0.1
0.04040404,0.18181818,1.5868904951097609,0,0.05,-0.1
0.04040404,0.19191919,1.392845696320006,0,0.05,-0.1
0.04040404,0.2020202,1.1929167068185311,0,0.05,-0.1
0.04040404,0.21212121,0.9221207946369676,0,0.05,-0.1
0.04040404,0.22222222,0.681407711676628,0,0.05,-0.1
0.04040404,0.23232323,0.482796018149712,0,0.05,-0.1
0.04040404,0.24242424,0.31106457635836426,0,0.05,-0.1
0.04040404,0.25252525,0.1915050303901619,0,0.05,-0.1
0.04040404,0.26262626,0.11100789195406847,1,0.05,-0.1
0.04040404,0.27272727,0.05726484012603274,1,0.05,-0.1
0.04040404,0.28282828,0.02718358366263703,1,0.05,-0.1
0.04040404,0.29292929,0.01140348047901835,1,0.05,-0.1
0.04040404,0.3030303,0.00425260626163653,1,0.05,-0.1
0.04040404,0.31313131,0.00171778031790722,1,0.05,-0.1
0.04040404,0.32323232,7.764843418189e-4,1,0.05,-0.1
0.04040404,0.33333333,2.7126240085378e-4,1,0.05,-0.1
0.04040404,0.34343434,0,1,0.05,-0.1
0.04040404,0.35353535,0,1,0.05,-0.1
0.04040404,0.36363636,2.3097352514378144e-5,1,0.05,-0.1
0.04040404,0.37373737,3.336988392934472e-5,1,0.05,-0.1
0.04040404,0.38383838,0,1,0.05,-0.1
0.04040404,0.39393939,2.9230370412710727e-5,1,0.05,-0.1
0.04040404,0.4040404,1.8567894401030572e-6,1,0.05,-0.1
0.04040404,0.41414141,1.1721470281440816e-5,1,0.05,-0.1
0.04040404,0.42424242,0,1,0.05,-0.1
0.04040404,0.43434343,0,1,0.05,-0.1
0.04040404,0.44444444,0,1,0.05,-0.1
0.04040404,0.45454545,6.842618893301733e-7,1,0.05,-0.1
0.04040404,0.46464646,0,1,0.05,-0.1
0.04040404,0.47474747,9.265672965454996e-7,1,0.05,-0.1
0.04040404,0.48484848,0,1,0.05,-0.1
0.04040404,0.49494949,7.167174695560164e-7,1,0.05,-0.1
0.04040404,0.50505051,0,1,0.05,-0.1
0.04040404,0.51515152,6.428553607877419e-7,1,0.05,-0.1
0.04040404,0.52525253,0,1,0.05,-0.1
0.04040404,0.53535354,5.811546597072947e-7,1,0.05,-0.1
0.04040404,0.54545455,0,1,0.05,-0.1
0.04040404,0.55555556,5.293049001579676e-7,1,0.05,-0.1
0.04040404,0.56565657,0,1,0.05,-0.1
0.04040404,0.57575758,4.853406896472734e-7,-1,0.05,-0.1
0.04040404,0.58585859,0,-1,0.05,-0.1
0.04040404,0.5959596,4.476591534512409e-7,-1,0.05,-0.1
0.04040404,0.60606061,0,-1,0.05,-0.1
0.04040404,0.61616162,4.149460291046126e-7,-1,0.05,-0.1
0.04040404,0.62626263,0,-1,0.05,-0.1
0.04040404,0.63636364,3.860980694298633e-7,-1,0.05,-0.1
0.04040404,0.64646465,0,-1,0.05,-0.1
0.04040404,0.65656566,3.601520038500894e-7,-1,0.05,-0.1
